broker,asset_rollup,asset_type,optie_exp_date,optie_strike,optie_call_put,SomVantransactie_aantal,SomVantransactie_euro_totaal,ib_symbol,ib_currency,VrijdagNummer,MaxWeek,WeeknummerVoorJoin,opt_exchange,opt_tradingclass,opt_week
degiro,RELX,optie,2026-03-20,30.0,put,-200.0,842.0,REN,EUR,3,3.0,3.0,FTA,REN,3.0
interactive,ROBINHOOD,optie,2026-03-20,80.0,call,-100.0,302.0,HOOD,USD,3,0.0,0.0,SMART,HOOD,0.0
interactive,ROBINHOOD,optie,2026-03-20,76.0,put,-300.0,1011.0,HOOD,USD,3,0.0,0.0,SMART,HOOD,0.0
interactive,ROCKETLAB,optie,2026-03-20,70.0,put,-100.0,455.0,RKLB,USD,3,0.0,0.0,SMART,RKLB,0.0
lynx,RTX,optie,2026-03-20,185.0,put,-100.0,249.0,RTX,USD,3,0.0,0.0,SMART,RTX,0.0
lynx,SERVICENOW,optie,2026-03-20,95.0,put,-100.0,146.0,NOW,USD,3,0.0,0.0,SMART,NOW,0.0
lynx,SLV,optie,2026-03-16,73.0,put,-200.0,106.0,SLV,USD,3,0.0,0.0,SMART,SLV,0.0
lynx,SLV,optie,2026-03-16,75.0,put,-100.0,80.0,SLV,USD,3,0.0,0.0,SMART,SLV,0.0
interactive,SLV,optie,2026-03-18,72.0,put,-300.0,267.0,SLV,USD,3,0.0,0.0,SMART,SLV,0.0
lynx,SLV,optie,2026-03-18,75.0,put,-100.0,193.0,SLV,USD,3,0.0,0.0,SMART,SLV,0.0
interactive,SLV,optie,2026-03-20,77.0,put,-100.0,343.0,SLV,USD,3,0.0,0.0,SMART,SLV,0.0
interactive,SLV,optie,2026-03-20,79.0,put,-100.0,473.0,SLV,USD,3,0.0,0.0,SMART,SLV,0.0
lynx,SMR,optie,2026-03-20,12.0,call,-200.0,106.0,SMR,USD,3,0.0,0.0,SMART,SMR,0.0
interactive,SMR,optie,2026-03-20,12.5,call,-100.0,36.0,SMR,USD,3,0.0,0.0,SMART,SMR,0.0
interactive,SMR,optie,2026-03-20,15.0,put,-100.0,310.0,SMR,USD,3,0.0,0.0,SMART,SMR,0.0
lynx,SMR,optie,2026-03-20,16.0,put,-200.0,684.0,SMR,USD,3,0.0,0.0,SMART,SMR,0.0
interactive,SNOW,optie,2026-03-20,180.0,put,-100.0,664.0,SNOW,USD,3,0.0,0.0,SMART,SNOW,0.0
degiro,TOTAL,optie,2026-03-20,64.0,put,-100.0,108.0,TTE,EUR,3,0.0,0.0,EUREX,TOTB,0.0
lynx,UBER,optie,2026-03-20,74.0,put,-100.0,166.0,UBER,USD,3,0.0,0.0,SMART,UBER,0.0
interactive,UNH,optie,2026-03-20,287.5,call,-100.0,270.0,UNH,USD,3,0.0,0.0,SMART,UNH,0.0
lynx,UNH,optie,2026-03-20,290.0,call,-100.0,205.0,UNH,USD,3,0.0,0.0,SMART,UNH,0.0
lynx,UNILEVER,optie,2026-03-20,60.0,call,-100.0,174.0,UNVB,EUR,3,5.0,3.0,FTA,UN,3.0
degiro,UNILEVER,optie,2026-03-20,62.0,call,-900.0,1231.0,UNVB,EUR,3,5.0,3.0,FTA,UN,3.0
degiro,UNILEVER,optie,2026-03-20,57.5,put,-800.0,1152.0,UNVB,EUR,3,5.0,3.0,FTA,UN,3.0
interactive,UPS,optie,2026-03-20,100.0,call,-100.0,96.0,UPS,USD,3,0.0,0.0,SMART,UPS,0.0
degiro,URW,optie,2026-03-20,98.0,call,-200.0,798.0,URW,EUR,3,0.0,0.0,EUREX,UBL,0.0
interactive,UVXY,optie,2026-03-20,44.0,put,-100.0,68.0,UVXY,USD,3,0.0,0.0,SMART,UVXY,0.0
lynx,VERNOVA,optie,2026-03-20,750.0,put,-100.0,710.0,GEV,USD,3,0.0,0.0,NYSE,GEV,0.0
lynx,VOLKSWAGEN,optie,2026-03-20,95.0,call,-200.0,250.0,VOW,EUR,3,0.0,0.0,EUREX,VOW,0.0
lynx,VOLKSWAGEN,optie,2026-03-20,110.0,put,-200.0,1348.0,VOW,EUR,3,0.0,0.0,EUREX,VOW,0.0
interactive,VZ,optie,2026-04-17,49.0,call,-300.0,876.0,VZ,USD,3,0.0,0.0,SMART,VZ,0.0
degiro,WKL,optie,2026-03-20,68.0,call,-100.0,200.0,WKL,EUR,3,3.0,3.0,FTA,WKL,3.0
lynx,WKL,optie,2026-03-20,68.0,call,-100.0,201.0,WKL,EUR,3,3.0,3.0,FTA,WKL,3.0
interactive,XND,optie,2026-03-20,222.0,put,-1000.0,3500.0,XND,USD,3,0.0,0.0,SMART,XND,0.0
interactive,XND,optie,2026-03-20,240.0,put,1000.0,-6300.0,XND,USD,3,0.0,0.0,SMART,XND,0.0
interactive,XSP,optie,2026-03-20,600.0,put,-100.0,756.0,XSP,USD,3,0.0,0.0,SMART,XSP,0.0
interactive,XSP,optie,2026-03-20,640.0,put,100.0,-1236.0,XSP,USD,3,0.0,0.0,SMART,XSP,0.0
