date,open,high,low,close,volume,index_name,symbol,exchange,currency
20221109,13653.98,13691.12,13557.08,13666.32,0.0,DAX,DAX,EUREX,EUR
20221110,13603.79,14157.25,13599.35,14146.09,0.0,DAX,DAX,EUREX,EUR
20221111,14179.39,14263.53,14172.47,14224.86,0.0,DAX,DAX,EUREX,EUR
20221114,14295.81,14431.18,14243.35,14313.3,0.0,DAX,DAX,EUREX,EUR
20221115,14372.42,14440.78,14266.42,14378.51,0.0,DAX,DAX,EUREX,EUR
20221116,14374.86,14382.62,14195.31,14234.03,0.0,DAX,DAX,EUREX,EUR
20221117,14348.46,14384.54,14149.7,14266.38,0.0,DAX,DAX,EUREX,EUR
20221118,14320.61,14457.76,14300.21,14431.86,0.0,DAX,DAX,EUREX,EUR
20221121,14395.53,14425.95,14321.84,14379.93,0.0,DAX,DAX,EUREX,EUR
20221122,14352.54,14485.49,14343.8,14422.35,0.0,DAX,DAX,EUREX,EUR
20221123,14438.2,14446.33,14363.51,14427.59,0.0,DAX,DAX,EUREX,EUR
20221124,14456.15,14570.71,14447.55,14539.56,0.0,DAX,DAX,EUREX,EUR
20221125,14547.58,14571.66,14498.05,14541.38,0.0,DAX,DAX,EUREX,EUR
20221128,14471.1,14514.73,14374.15,14383.36,0.0,DAX,DAX,EUREX,EUR
20221129,14404.67,14429.87,14327.04,14355.45,0.0,DAX,DAX,EUREX,EUR
20221130,14429.22,14487.7,14363.32,14397.04,0.0,DAX,DAX,EUREX,EUR
20221201,14543.8,14563.7,14423.79,14490.3,0.0,DAX,DAX,EUREX,EUR
20221202,14465.7,14584.59,14372.42,14529.39,0.0,DAX,DAX,EUREX,EUR
20221205,14487.43,14507.16,14394.37,14447.61,0.0,DAX,DAX,EUREX,EUR
20221206,14406.87,14471.5,14305.26,14343.19,0.0,DAX,DAX,EUREX,EUR
20221207,14304.95,14372.35,14218.18,14261.19,0.0,DAX,DAX,EUREX,EUR
20221208,14277.75,14298.81,14196.77,14264.56,0.0,DAX,DAX,EUREX,EUR
20221209,14325.8,14385.57,14217.96,14370.72,0.0,DAX,DAX,EUREX,EUR
20221212,14300.43,14366.39,14262.6,14306.63,0.0,DAX,DAX,EUREX,EUR
20221213,14345.88,14675.84,14302.49,14497.89,0.0,DAX,DAX,EUREX,EUR
20221214,14453.54,14470.74,14375.95,14460.2,0.0,DAX,DAX,EUREX,EUR
20221215,14351.31,14363.12,13982.59,13986.23,0.0,DAX,DAX,EUREX,EUR
20221216,13978.44,14011.26,13815.24,13893.07,0.0,DAX,DAX,EUREX,EUR
20221219,13934.75,14001.37,13927.05,13942.87,0.0,DAX,DAX,EUREX,EUR
20221220,13829.9,13931.29,13791.52,13884.66,0.0,DAX,DAX,EUREX,EUR
20221221,13944.69,14099.75,13912.17,14097.82,0.0,DAX,DAX,EUREX,EUR
20221222,14113.01,14160.87,13890.54,13914.07,0.0,DAX,DAX,EUREX,EUR
20221223,13945.59,14000.68,13874.5,13940.93,0.0,DAX,DAX,EUREX,EUR
20221227,14047.42,14063.14,13966.35,13995.1,0.0,DAX,DAX,EUREX,EUR
20221228,14013.72,14018.47,13914.62,13925.6,0.0,DAX,DAX,EUREX,EUR
20221229,13890.81,14071.72,13871.32,14071.72,0.0,DAX,DAX,EUREX,EUR
20221230,14005.84,14008.97,13922.55,13923.59,0.0,DAX,DAX,EUREX,EUR
20230102,13992.71,14095.91,13976.44,14069.26,0.0,DAX,DAX,EUREX,EUR
20230103,14116.07,14293.87,14083.76,14181.67,0.0,DAX,DAX,EUREX,EUR
20230104,14266.98,14492.78,14264.6,14490.78,0.0,DAX,DAX,EUREX,EUR
20230105,14451.23,14501.6,14403.73,14436.31,0.0,DAX,DAX,EUREX,EUR
20230106,14476.72,14610.23,14388.98,14610.02,0.0,DAX,DAX,EUREX,EUR
20230109,14650.73,14832.89,14628.61,14792.83,0.0,DAX,DAX,EUREX,EUR
20230110,14741.97,14790.82,14692.74,14774.6,0.0,DAX,DAX,EUREX,EUR
20230111,14805.4,14965.47,14794.99,14947.91,0.0,DAX,DAX,EUREX,EUR
20230112,14972.28,15095.03,14934.51,15058.3,0.0,DAX,DAX,EUREX,EUR
20230113,15063.21,15132.37,15041.16,15086.52,0.0,DAX,DAX,EUREX,EUR
20230116,15112.05,15153.19,15083.94,15134.04,0.0,DAX,DAX,EUREX,EUR
20230117,15130.03,15269.71,15083.95,15187.07,0.0,DAX,DAX,EUREX,EUR
20230118,15182.95,15250.36,15156.89,15181.8,0.0,DAX,DAX,EUREX,EUR
20230119,15115.55,15134.07,14906.27,14920.36,0.0,DAX,DAX,EUREX,EUR
20230120,14986.52,15034.43,14940.68,15033.56,0.0,DAX,DAX,EUREX,EUR
20230123,15077.4,15145.9,15022.83,15102.95,0.0,DAX,DAX,EUREX,EUR
20230124,15140.5,15147.45,15022.55,15093.11,0.0,DAX,DAX,EUREX,EUR
20230125,15095.72,15114.41,14969.65,15081.64,0.0,DAX,DAX,EUREX,EUR
20230126,15146.29,15151.54,15068.72,15132.85,0.0,DAX,DAX,EUREX,EUR
20230127,15115.75,15186.49,15077.62,15150.03,0.0,DAX,DAX,EUREX,EUR
20230130,15070.3,15161.07,14988.98,15126.08,0.0,DAX,DAX,EUREX,EUR
20230131,15081.17,15136.22,14993.59,15128.27,0.0,DAX,DAX,EUREX,EUR
20230201,15125.12,15222.34,15107.83,15180.74,0.0,DAX,DAX,EUREX,EUR
20230202,15275.0,15520.97,15264.31,15509.19,0.0,DAX,DAX,EUREX,EUR
20230203,15408.4,15476.67,15347.86,15476.43,0.0,DAX,DAX,EUREX,EUR
20230206,15367.04,15406.93,15275.57,15345.91,0.0,DAX,DAX,EUREX,EUR
20230207,15359.59,15363.41,15273.6,15320.88,0.0,DAX,DAX,EUREX,EUR
20230208,15450.67,15486.13,15371.93,15412.05,0.0,DAX,DAX,EUREX,EUR
20230209,15560.15,15658.56,15519.63,15523.42,0.0,DAX,DAX,EUREX,EUR
20230210,15438.94,15487.98,15246.39,15307.98,0.0,DAX,DAX,EUREX,EUR
20230213,15322.06,15409.27,15305.94,15397.34,0.0,DAX,DAX,EUREX,EUR
20230214,15419.0,15526.28,15366.37,15380.56,0.0,DAX,DAX,EUREX,EUR
20230215,15394.44,15520.39,15388.85,15506.34,0.0,DAX,DAX,EUREX,EUR
20230216,15612.43,15634.04,15417.17,15533.64,0.0,DAX,DAX,EUREX,EUR
20230217,15372.06,15514.72,15300.42,15482.0,0.0,DAX,DAX,EUREX,EUR
20230220,15524.16,15532.44,15436.79,15477.55,0.0,DAX,DAX,EUREX,EUR
20230221,15450.62,15470.52,15286.71,15397.62,0.0,DAX,DAX,EUREX,EUR
20230222,15342.6,15408.58,15247.5,15399.89,0.0,DAX,DAX,EUREX,EUR
20230223,15453.29,15552.77,15433.97,15475.69,0.0,DAX,DAX,EUREX,EUR
20230224,15501.82,15530.46,15162.48,15209.74,0.0,DAX,DAX,EUREX,EUR
20230227,15351.63,15481.06,15351.63,15381.43,0.0,DAX,DAX,EUREX,EUR
20230228,15299.79,15443.17,15289.43,15365.14,0.0,DAX,DAX,EUREX,EUR
20230301,15399.91,15478.84,15254.11,15305.02,0.0,DAX,DAX,EUREX,EUR
20230302,15171.07,15329.29,15150.67,15327.64,0.0,DAX,DAX,EUREX,EUR
20230303,15430.66,15590.44,15409.99,15578.39,0.0,DAX,DAX,EUREX,EUR
20230306,15597.9,15677.93,15587.78,15653.58,0.0,DAX,DAX,EUREX,EUR
20230307,15638.44,15706.37,15544.07,15559.53,0.0,DAX,DAX,EUREX,EUR
