date,open,high,low,close,volume,index_name,symbol,exchange,currency
20221104,19475.55,19580.08,19299.95,19449.81,0.0,TSX,TSX,TSE,CAD
20221107,19525.15,19565.62,19431.05,19545.91,0.0,TSX,TSX,TSE,CAD
20221108,19578.27,19743.32,19533.85,19660.31,0.0,TSX,TSX,TSE,CAD
20221109,19570.46,19585.09,19337.95,19344.25,0.0,TSX,TSX,TSE,CAD
20221110,19724.52,20035.29,19724.52,19990.36,0.0,TSX,TSX,TSE,CAD
20221111,20097.52,20169.79,20023.5,20111.51,0.0,TSX,TSX,TSE,CAD
20221114,20057.51,20102.31,19921.81,19921.81,0.0,TSX,TSX,TSE,CAD
20221115,20110.07,20117.36,19938.59,19994.78,0.0,TSX,TSX,TSE,CAD
20221116,19928.97,20011.58,19897.26,19957.96,0.0,TSX,TSX,TSE,CAD
20221117,19790.52,19884.58,19742.33,19884.58,0.0,TSX,TSX,TSE,CAD
20221118,19934.36,19995.17,19891.35,19980.91,0.0,TSX,TSX,TSE,CAD
20221121,19901.76,19986.03,19787.05,19977.13,0.0,TSX,TSX,TSE,CAD
20221122,20060.52,20236.5,20048.64,20220.01,0.0,TSX,TSX,TSE,CAD
20221123,20185.08,20303.63,20185.08,20282.26,0.0,TSX,TSX,TSE,CAD
20221124,20309.15,20386.69,20309.15,20344.07,0.0,TSX,TSX,TSE,CAD
20221125,20348.87,20446.28,20342.24,20383.77,0.0,TSX,TSX,TSE,CAD
20221128,20310.04,20397.92,20178.8,20220.49,0.0,TSX,TSX,TSE,CAD
20221129,20319.78,20322.7,20229.28,20277.41,0.0,TSX,TSX,TSE,CAD
20221130,20341.73,20456.62,20137.12,20453.26,0.0,TSX,TSX,TSE,CAD
20221201,20541.19,20639.48,20486.26,20525.45,0.0,TSX,TSX,TSE,CAD
20221202,20364.37,20554.53,20364.37,20485.66,0.0,TSX,TSX,TSE,CAD
20221205,20453.68,20476.35,20203.95,20242.26,0.0,TSX,TSX,TSE,CAD
20221206,20262.04,20306.56,19960.02,19990.17,0.0,TSX,TSX,TSE,CAD
20221207,19971.25,20093.02,19957.62,19973.22,0.0,TSX,TSX,TSE,CAD
20221208,20044.87,20086.4,19947.18,19969.19,0.0,TSX,TSX,TSE,CAD
20221209,19990.09,20086.26,19944.8,19947.07,0.0,TSX,TSX,TSE,CAD
20221212,19841.13,20019.94,19834.33,20019.7,0.0,TSX,TSX,TSE,CAD
20221213,20312.85,20341.26,19955.63,20023.46,0.0,TSX,TSX,TSE,CAD
20221214,20022.6,20081.79,19863.98,19891.65,0.0,TSX,TSX,TSE,CAD
20221215,19722.91,19726.58,19512.87,19600.63,0.0,TSX,TSX,TSE,CAD
20221216,19429.24,19504.22,19352.8,19443.28,0.0,TSX,TSX,TSE,CAD
20221219,19455.6,19485.31,19159.58,19200.76,0.0,TSX,TSX,TSE,CAD
20221220,19213.45,19379.11,19196.51,19306.89,0.0,TSX,TSX,TSE,CAD
20221221,19447.3,19598.7,19447.3,19571.1,0.0,TSX,TSX,TSE,CAD
20221222,19480.43,19480.43,19173.83,19349.66,0.0,TSX,TSX,TSE,CAD
20221223,19361.38,19506.7,19315.13,19506.65,0.0,TSX,TSX,TSE,CAD
20221228,19472.29,19518.98,19263.61,19284.1,0.0,TSX,TSX,TSE,CAD
20221229,19316.92,19515.38,19308.86,19485.89,0.0,TSX,TSX,TSE,CAD
20221230,19401.34,19496.21,19332.84,19384.92,0.0,TSX,TSX,TSE,CAD
20230103,19531.37,19661.58,19380.34,19443.77,0.0,TSX,TSX,TSE,CAD
20230104,19460.09,19639.51,19414.63,19588.83,0.0,TSX,TSX,TSE,CAD
20230105,19518.69,19536.04,19386.71,19506.84,0.0,TSX,TSX,TSE,CAD
20230106,19615.55,19821.42,19556.59,19814.51,0.0,TSX,TSX,TSE,CAD
20230109,19899.99,19987.54,19840.84,19857.07,0.0,TSX,TSX,TSE,CAD
20230110,19857.28,19898.86,19745.56,19898.86,0.0,TSX,TSX,TSE,CAD
20230111,19980.42,20038.26,19910.3,20025.05,0.0,TSX,TSX,TSE,CAD
20230112,20101.6,20214.26,19993.39,20211.2,0.0,TSX,TSX,TSE,CAD
20230113,20150.94,20379.95,20147.57,20360.1,0.0,TSX,TSX,TSE,CAD
20230116,20340.66,20435.11,20324.38,20390.33,0.0,TSX,TSX,TSE,CAD
20230117,20410.15,20479.94,20389.75,20457.46,0.0,TSX,TSX,TSE,CAD
20230118,20535.74,20632.01,20376.22,20376.22,0.0,TSX,TSX,TSE,CAD
20230119,20290.51,20406.46,20258.31,20341.44,0.0,TSX,TSX,TSE,CAD
20230120,20364.06,20517.09,20287.31,20503.21,0.0,TSX,TSX,TSE,CAD
20230123,20535.44,20641.67,20480.39,20631.58,0.0,TSX,TSX,TSE,CAD
20230124,20564.96,20653.17,20502.36,20629.55,0.0,TSX,TSX,TSE,CAD
20230125,20501.8,20634.27,20402.23,20599.6,0.0,TSX,TSX,TSE,CAD
20230126,20672.12,20700.5,20559.33,20700.5,0.0,TSX,TSX,TSE,CAD
20230127,20669.71,20762.95,20621.91,20714.47,0.0,TSX,TSX,TSE,CAD
20230130,20609.02,20713.7,20570.19,20572.11,0.0,TSX,TSX,TSE,CAD
20230131,20600.31,20771.56,20590.13,20767.38,0.0,TSX,TSX,TSE,CAD
20230201,20731.89,20828.42,20579.49,20751.05,0.0,TSX,TSX,TSE,CAD
20230202,20813.49,20843.21,20696.86,20740.44,0.0,TSX,TSX,TSE,CAD
20230203,20680.85,20830.27,20680.85,20758.34,0.0,TSX,TSX,TSE,CAD
20230206,20662.31,20683.62,20550.06,20628.92,0.0,TSX,TSX,TSE,CAD
20230207,20612.02,20775.72,20541.59,20725.0,0.0,TSX,TSX,TSE,CAD
20230208,20710.46,20779.24,20623.12,20679.54,0.0,TSX,TSX,TSE,CAD
20230209,20774.07,20821.66,20541.29,20597.75,0.0,TSX,TSX,TSE,CAD
20230210,20540.1,20624.04,20484.5,20612.12,0.0,TSX,TSX,TSE,CAD
20230213,20610.47,20741.5,20604.73,20702.23,0.0,TSX,TSX,TSE,CAD
20230214,20675.83,20766.81,20553.17,20704.79,0.0,TSX,TSX,TSE,CAD
20230215,20642.47,20725.72,20576.6,20720.39,0.0,TSX,TSX,TSE,CAD
20230216,20572.54,20706.16,20531.48,20606.42,0.0,TSX,TSX,TSE,CAD
20230217,20546.45,20575.31,20456.84,20515.24,0.0,TSX,TSX,TSE,CAD
20230221,20463.12,20463.12,20242.79,20252.64,0.0,TSX,TSX,TSE,CAD
20230222,20246.83,20284.04,20134.45,20193.33,0.0,TSX,TSX,TSE,CAD
20230223,20233.77,20293.65,20083.41,20188.19,0.0,TSX,TSX,TSE,CAD
20230224,20115.46,20219.95,19997.33,20219.19,0.0,TSX,TSX,TSE,CAD
20230227,20245.56,20373.97,20236.77,20260.13,0.0,TSX,TSX,TSE,CAD
20230228,20223.73,20242.63,20156.47,20221.19,0.0,TSX,TSX,TSE,CAD
20230301,20200.9,20318.91,20200.9,20259.78,0.0,TSX,TSX,TSE,CAD
20230302,20209.68,20347.13,20149.04,20337.21,0.0,TSX,TSX,TSE,CAD
20230303,20384.85,20609.01,20384.85,20581.58,0.0,TSX,TSX,TSE,CAD
20230306,20578.83,20615.5,20498.47,20514.8,0.0,TSX,TSX,TSE,CAD
20230307,20505.49,20505.49,20236.45,20275.54,0.0,TSX,TSX,TSE,CAD
20230308,20274.62,20438.15,20270.43,20346.53,0.0,TSX,TSX,TSE,CAD
20230309,20358.82,20441.02,20063.92,20086.72,0.0,TSX,TSX,TSE,CAD
20230310,20046.2,20064.73,19743.49,19774.92,0.0,TSX,TSX,TSE,CAD
20230313,19645.53,19714.18,19427.53,19588.9,0.0,TSX,TSX,TSE,CAD
20230314,19732.91,19850.63,19562.31,19694.16,0.0,TSX,TSX,TSE,CAD
20230315,19532.98,19532.98,19179.43,19378.84,0.0,TSX,TSX,TSE,CAD
20230316,19311.25,19589.44,19155.77,19539.01,0.0,TSX,TSX,TSE,CAD
20230317,19493.04,19493.04,19297.99,19387.72,0.0,TSX,TSX,TSE,CAD
20230320,19411.76,19535.64,19411.76,19519.43,0.0,TSX,TSX,TSE,CAD
20230321,19615.46,19734.68,19614.68,19654.92,0.0,TSX,TSX,TSE,CAD
20230322,19681.25,19812.97,19532.78,19532.78,0.0,TSX,TSX,TSE,CAD
20230323,19565.88,19681.84,19393.13,19459.92,0.0,TSX,TSX,TSE,CAD
20230324,19391.63,19506.56,19278.62,19501.48,0.0,TSX,TSX,TSE,CAD
20230327,19562.73,19638.63,19511.18,19624.74,0.0,TSX,TSX,TSE,CAD
20230328,19622.9,19700.15,19600.53,19657.53,0.0,TSX,TSX,TSE,CAD
20230329,19730.33,19841.32,19730.33,19837.65,0.0,TSX,TSX,TSE,CAD
