date,open,high,low,close,volume,index_name,symbol,exchange,currency
20220404,21979.4,22089.75,21942.61,22085.61,0.0,TSX,TSX,TSE,CAD
20220405,22060.16,22213.07,21916.6,21930.83,0.0,TSX,TSX,TSE,CAD
20220406,21860.03,21894.54,21702.1,21788.6,0.0,TSX,TSX,TSE,CAD
20220407,21792.3,21851.64,21635.34,21834.89,0.0,TSX,TSX,TSE,CAD
20220408,21876.84,21953.04,21824.32,21874.35,0.0,TSX,TSX,TSE,CAD
20220411,21873.77,21889.72,21737.52,21790.49,0.0,TSX,TSX,TSE,CAD
20220412,21897.86,21948.6,21701.03,21715.41,0.0,TSX,TSX,TSE,CAD
20220413,21780.1,21888.76,21739.47,21838.02,0.0,TSX,TSX,TSE,CAD
20220414,21862.21,21935.53,21843.04,21855.7,0.0,TSX,TSX,TSE,CAD
20220418,21866.87,21972.1,21847.62,21878.41,0.0,TSX,TSX,TSE,CAD
20220419,21853.02,22035.68,21820.81,22018.82,0.0,TSX,TSX,TSE,CAD
20220420,22012.53,22062.6,21933.99,21998.38,0.0,TSX,TSX,TSE,CAD
20220421,22088.13,22088.13,21613.16,21650.41,0.0,TSX,TSX,TSE,CAD
20220422,21593.86,21593.86,21169.27,21186.38,0.0,TSX,TSX,TSE,CAD
20220425,20985.49,21074.67,20672.64,21011.89,0.0,TSX,TSX,TSE,CAD
20220426,21021.18,21021.18,20690.81,20690.81,0.0,TSX,TSX,TSE,CAD
20220427,20747.2,20855.48,20619.32,20744.23,0.0,TSX,TSX,TSE,CAD
20220428,20899.87,21206.46,20817.86,21121.06,0.0,TSX,TSX,TSE,CAD
20220429,21036.16,21168.82,20753.85,20762.0,0.0,TSX,TSX,TSE,CAD
20220502,20707.7,20758.11,20456.8,20692.22,0.0,TSX,TSX,TSE,CAD
20220503,20726.5,21030.74,20724.3,20905.28,0.0,TSX,TSX,TSE,CAD
20220504,20972.96,21212.88,20798.78,21184.95,0.0,TSX,TSX,TSE,CAD
20220505,21120.71,21120.71,20550.61,20696.17,0.0,TSX,TSX,TSE,CAD
20220506,20664.47,20729.34,20416.38,20633.29,0.0,TSX,TSX,TSE,CAD
20220509,20392.4,20392.4,19955.79,19999.69,0.0,TSX,TSX,TSE,CAD
20220510,20166.21,20253.33,19736.68,19890.06,0.0,TSX,TSX,TSE,CAD
20220511,19922.75,20189.43,19792.79,19837.25,0.0,TSX,TSX,TSE,CAD
20220512,19681.25,19809.0,19480.0,19699.05,0.0,TSX,TSX,TSE,CAD
20220513,19871.87,20196.6,19871.87,20099.81,0.0,TSX,TSX,TSE,CAD
20220516,20116.04,20309.19,20064.76,20206.4,0.0,TSX,TSX,TSE,CAD
20220517,20440.84,20514.61,20330.54,20491.01,0.0,TSX,TSX,TSE,CAD
20220518,20424.03,20424.03,20040.48,20101.38,0.0,TSX,TSX,TSE,CAD
20220519,19927.12,20336.12,19907.27,20181.92,0.0,TSX,TSX,TSE,CAD
20220520,20335.7,20359.79,19937.3,20197.61,0.0,TSX,TSX,TSE,CAD
20220524,20333.39,20337.34,20146.91,20286.2,0.0,TSX,TSX,TSE,CAD
20220525,20295.19,20452.54,20290.69,20383.75,0.0,TSX,TSX,TSE,CAD
20220526,20454.11,20624.73,20448.69,20532.18,0.0,TSX,TSX,TSE,CAD
20220527,20587.1,20777.55,20581.72,20748.58,0.0,TSX,TSX,TSE,CAD
20220530,20835.61,20940.13,20817.52,20919.4,0.0,TSX,TSX,TSE,CAD
20220531,20830.49,20875.91,20697.64,20729.34,0.0,TSX,TSX,TSE,CAD
20220601,20816.71,20866.36,20610.19,20713.72,0.0,TSX,TSX,TSE,CAD
20220602,20713.64,21036.35,20713.64,21031.8,0.0,TSX,TSX,TSE,CAD
20220603,20915.18,20931.49,20753.48,20790.73,0.0,TSX,TSX,TSE,CAD
20220606,20912.88,20931.94,20796.07,20819.09,0.0,TSX,TSX,TSE,CAD
20220607,20730.68,20928.21,20695.85,20928.21,0.0,TSX,TSX,TSE,CAD
20220608,20879.51,20919.33,20712.02,20792.43,0.0,TSX,TSX,TSE,CAD
20220609,20718.4,20771.66,20563.89,20563.89,0.0,TSX,TSX,TSE,CAD
20220610,20390.27,20390.29,20196.16,20274.82,0.0,TSX,TSX,TSE,CAD
20220613,19943.39,19943.39,19602.9,19742.55,0.0,TSX,TSX,TSE,CAD
20220614,19844.29,19844.29,19435.02,19548.51,0.0,TSX,TSX,TSE,CAD
20220615,19665.39,19743.36,19383.69,19611.56,0.0,TSX,TSX,TSE,CAD
20220616,19284.01,19320.69,18952.69,19004.06,0.0,TSX,TSX,TSE,CAD
20220617,19067.35,19193.97,18787.68,18930.48,0.0,TSX,TSX,TSE,CAD
20220620,18967.73,19186.53,18967.73,19183.63,0.0,TSX,TSX,TSE,CAD
20220621,19248.24,19385.48,19239.38,19257.29,0.0,TSX,TSX,TSE,CAD
20220622,18947.11,19142.81,18871.7,19004.04,0.0,TSX,TSX,TSE,CAD
20220623,19033.06,19067.02,18661.52,18717.12,0.0,TSX,TSX,TSE,CAD
20220624,18831.7,19100.72,18828.93,19062.91,0.0,TSX,TSX,TSE,CAD
20220627,19168.72,19294.17,19068.0,19258.32,0.0,TSX,TSX,TSE,CAD
20220628,19406.49,19500.89,19160.19,19222.74,0.0,TSX,TSX,TSE,CAD
20220629,19274.28,19274.28,19010.44,19078.64,0.0,TSX,TSX,TSE,CAD
20220630,18848.72,18898.73,18665.34,18861.36,0.0,TSX,TSX,TSE,CAD
20220704,18951.2,19129.7,18946.52,19028.86,0.0,TSX,TSX,TSE,CAD
20220705,18877.17,18911.07,18520.38,18834.16,0.0,TSX,TSX,TSE,CAD
20220706,18795.65,18872.07,18543.92,18729.66,0.0,TSX,TSX,TSE,CAD
20220707,18871.31,19085.45,18871.31,19063.17,0.0,TSX,TSX,TSE,CAD
20220708,19063.14,19100.13,18897.74,19022.86,0.0,TSX,TSX,TSE,CAD
20220711,18905.25,18955.41,18785.77,18816.8,0.0,TSX,TSX,TSE,CAD
20220712,18712.32,18798.33,18619.47,18678.64,0.0,TSX,TSX,TSE,CAD
20220713,18517.46,18691.92,18378.83,18615.19,0.0,TSX,TSX,TSE,CAD
20220714,18448.08,18466.76,18169.86,18329.06,0.0,TSX,TSX,TSE,CAD
20220715,18490.99,18500.1,18311.57,18394.45,0.0,TSX,TSX,TSE,CAD
20220718,18582.53,18733.59,18560.11,18595.62,0.0,TSX,TSX,TSE,CAD
20220719,18723.11,18944.12,18716.92,18937.71,0.0,TSX,TSX,TSE,CAD
20220720,18912.44,19056.39,18845.15,19020.67,0.0,TSX,TSX,TSE,CAD
20220721,18953.98,19064.92,18870.76,19062.85,0.0,TSX,TSX,TSE,CAD
20220722,19085.67,19141.65,18911.89,18982.92,0.0,TSX,TSX,TSE,CAD
20220725,19010.28,19119.04,18971.49,19104.48,0.0,TSX,TSX,TSE,CAD
20220726,19070.72,19110.48,18923.42,18972.68,0.0,TSX,TSX,TSE,CAD
20220727,19056.91,19315.46,19056.91,19254.56,0.0,TSX,TSX,TSE,CAD
20220728,19353.45,19472.7,19182.44,19456.71,0.0,TSX,TSX,TSE,CAD
20220729,19539.86,19733.95,19539.86,19692.92,0.0,TSX,TSX,TSE,CAD
20220802,19568.87,19673.47,19486.68,19505.33,0.0,TSX,TSX,TSE,CAD
20220803,19616.12,19616.12,19485.03,19545.94,0.0,TSX,TSX,TSE,CAD
20220804,19573.12,19619.14,19538.08,19577.04,0.0,TSX,TSX,TSE,CAD
20220805,19471.25,19620.13,19443.34,19620.13,0.0,TSX,TSX,TSE,CAD
20220808,19666.86,19768.01,19661.75,19669.17,0.0,TSX,TSX,TSE,CAD
20220809,19693.59,19699.83,19540.21,19578.3,0.0,TSX,TSX,TSE,CAD
20220810,19743.64,19911.02,19716.29,19885.94,0.0,TSX,TSX,TSE,CAD
20220811,20014.23,20100.55,19961.09,19991.88,0.0,TSX,TSX,TSE,CAD
20220812,20051.4,20188.64,20021.34,20179.81,0.0,TSX,TSX,TSE,CAD
20220815,20061.43,20199.17,20023.14,20180.6,0.0,TSX,TSX,TSE,CAD
20220816,20182.23,20287.19,20166.52,20269.97,0.0,TSX,TSX,TSE,CAD
20220817,20191.67,20251.98,20130.83,20181.44,0.0,TSX,TSX,TSE,CAD
20220818,20230.61,20323.57,20209.46,20265.37,0.0,TSX,TSX,TSE,CAD
20220819,20184.88,20192.79,20067.24,20111.38,0.0,TSX,TSX,TSE,CAD
20220822,19917.0,19974.92,19837.79,19974.92,0.0,TSX,TSX,TSE,CAD
20220823,19968.48,20082.91,19941.12,19985.35,0.0,TSX,TSX,TSE,CAD
20220824,19961.83,20068.93,19961.53,20021.38,0.0,TSX,TSX,TSE,CAD
20220825,20113.11,20188.98,20081.0,20172.34,0.0,TSX,TSX,TSE,CAD
20220826,20204.71,20205.62,19860.58,19873.29,0.0,TSX,TSX,TSE,CAD
20220829,19752.8,19884.23,19704.96,19836.12,0.0,TSX,TSX,TSE,CAD
20220830,19819.82,19819.82,19484.77,19512.9,0.0,TSX,TSX,TSE,CAD
20220831,19450.62,19506.39,19330.81,19330.81,0.0,TSX,TSX,TSE,CAD
20220901,19179.49,19179.49,18986.19,19142.72,0.0,TSX,TSX,TSE,CAD
20220902,19349.41,19478.27,19203.82,19270.85,0.0,TSX,TSX,TSE,CAD
20220906,19346.35,19371.48,19074.6,19088.15,0.0,TSX,TSX,TSE,CAD
20220907,19013.73,19264.46,18981.97,19241.44,0.0,TSX,TSX,TSE,CAD
20220908,19193.23,19415.52,19163.61,19413.0,0.0,TSX,TSX,TSE,CAD
20220909,19592.41,19789.58,19592.41,19773.34,0.0,TSX,TSX,TSE,CAD
20220912,19923.17,20032.6,19885.88,19987.23,0.0,TSX,TSX,TSE,CAD
20220913,19713.13,19850.63,19602.53,19645.4,0.0,TSX,TSX,TSE,CAD
20220914,19683.64,19809.13,19649.31,19726.14,0.0,TSX,TSX,TSE,CAD
20220915,19640.72,19785.14,19521.29,19560.16,0.0,TSX,TSX,TSE,CAD
